Epoch,Holiday name,Holiday type
1420070400,New Year's Day,Feriado Nacional
1423872000,Carnival Saturday,Observance
1423958400,Carnival Sunday,Observance
1424044800,Carnival Monday,Optional Holiday
1424131200,Carnival Tuesday,Optional Holiday
1424217600,Carnival end (until 2pm),Optional Holiday
1426809600,March equinox,Season
1428019200,Good Friday,Feriado Nacional
1428192000,Easter Sunday,Observance
1429574400,Tiradentes Day,Feriado Nacional
1430438400,Labor Day / May Day,Feriado Nacional
1431216000,Mother's Day,Observance
1433376000,Corpus Christi,Optional Holiday
1434067200,Lovers' Day,Observance
1434844800,June Solstice,Season
1439078400,Father's Day,Observance
1441584000,Independence Day,Feriado Nacional
1442966400,September equinox,Season
1444608000,Our Lady Aparecida/Children's Day,Feriado Nacional
1444867200,Teachers' Day,Observance
1445990400,Public Service Holiday,Optional Holiday
1446422400,All Souls Day,Feriado Nacional
1447545600,Republic Proclamation Day,Feriado Nacional
1447977600,Black Consciousness Day,Observance
1450742400,December Solstice,Season
1450915200,Christmas Eve (from 2pm),Optional Holiday
1451001600,Christmas Day,Feriado Nacional
1451520000,New Year's Eve (from 2pm),Optional Holiday
